URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/WRRelatedPerson,StructureDefinition/WRPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/coverage-financial-exception,4.0.1,draft,"2.16.840.1.113883.4.642.3.1328",ExampleCoverageFinancialExceptionCodes,Example Coverage Financial Exception Codes,"This value set includes Example Coverage Financial Exception Codes.","StructureDefinition/WRCoverage","THO"
http://hl7.org/fhir/ValueSet/coverage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.520",CoverageTypeAndSelf-PayCodes,Coverage Type and Self-Pay Codes,"This value set includes Coverage Type codes.","StructureDefinition/WRCoverage","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/WRObservation","THO"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/WREncounter,StructureDefinition/WREpisodeOfCare","THO"
http://hl7.org/fhir/ValueSet/encounter-admit-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.257",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/WREncounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/WREncounter","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.261",EncounterReasonCodes,Encounter Reason Codes,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/WREncounter","SCT"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/WREncounter","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/WREncounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/episode-of-care-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.664",EpisodeOfCareStatus,EpisodeOfCareStatus,"The status of the episode of care.","StructureDefinition/WREpisodeOfCare","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/episodeofcare-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.666",EpisodeOfCareType,Episode of care type,"This example value set defines a set of codes that can be used to express the usage type of an EpisodeOfCare record.","StructureDefinition/WREpisodeOfCare","THO"
http://hl7.org/fhir/ValueSet/fm-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.592",FinancialResourceStatusCodes,Financial Resource Status Codes,"This value set includes Status codes.","StructureDefinition/WRCoverage","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/WRCoverage,StructureDefinition/WRRelatedPerson,StructureDefinition/WREncounter,StructureDefinition/WREpisodeOfCare,StructureDefinition/WRObservation,StructureDefinition/WRCondition,StructureDefinition/WRPatient","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/WRPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/WRCondition","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/WRPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/WRObservation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/WRObservation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/WRObservation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/WRObservation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/WRObservation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/WRPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/WRObservation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/WRObservation","THO"
http://hl7.org/fhir/ValueSet/relatedperson-relationshiptype,4.0.1,draft,"2.16.840.1.113883.4.642.3.449",PatientRelationshipType,Patient relationship type,"A set of codes that can be used to indicate the relationship between a Patient and a Related Person.","StructureDefinition/WRRelatedPerson","THO (V3),THO (V2)"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/WREncounter","THO"
http://hl7.org/fhir/ValueSet/subscriber-relationship,4.0.1,draft,"2.16.840.1.113883.4.642.3.1385",SubscriberRelationshipCodes,SubscriberPolicyholder Relationship Codes,"This value set includes codes for the relationship between the Subscriber and the Beneficiary (insured/covered party/patient).","StructureDefinition/WRCoverage","THO"
http://terminology.hl7.org/ValueSet/v2-0092,2.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/WREncounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/WREncounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/WREncounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-TribalEntityUS,4.0.0,active,"2.16.840.1.113883.1.11.11631",TribalEntityUS,TribalEntityUS,"INDIAN ENTITIES RECOGNIZED AND ELIGIBLE TO RECEIVE SERVICES FROM THE UNITED STATES BUREAU OF INDIAN AFFAIRS","StructureDefinition/us-core-tribalAffiliation","THO (V3)"
